الكلمة,المعنى المرجعي,مصدر المعنى
مُغامر,"من يجازف، ويلقي بنفسه في المخاطر أو الشدائد",معجم الرياض
كَنز, كل ما يدخر من الأموال أو النفائس,معجم الرياض
قَلعة,حِصن ممتنع على جبل أو مُرتفع,معجم الرياض
مَغارة,كهف وغار.,معجم الرياض
عِملاق,ما يفوق بني جنسه في الطول والضخامة أو في حقل من حقول العلم أو الأدب,معجم الرياض
فَارس,ماهر في ركوب الخيل,معجم الرياض
لُغز,كلام مبهم خفي المعنى,معجم الرياض
مَجرة,تجمعات كبيرة من النجوم والكواكب,معجم الرياض
مِرآة,سطح مستوٍ أو منحنٍ يعكس صورة ما يقف أمامه,معجم الرياض
مَملكة,منطقة جغرافية يحكمها ملك,معجم الرياض
سراب,ظاهرة طبيعية تُرَى كمسطحات ماء تُلْصَق بالأرض عن بُعد,معجم الرياض
أفق,ما تراه العين من الأرض كأنما التقت عنده بالسماء.,معجم الرياض
روضة, مساحة واسعة تغطيها الخضرة والأشجار,معجم الرياض
سَهْل,أرض منبسطة,معجم الرياض
كثيب,تل صغير من الرمال كونته الرياح في الصحراء أو على الشواطئ,معجم الرياض
ينبوع," نبع، عين ماء",معجم الرياض
شاطئ,"ساحل، يابس على طول حافة محيط أو بحر أو نهر‏",
جزيرة,أرض مُحاطة بالماء من كلّ ناحية,
كهف,مكان محفور في الجبل,
صحراء,"أرض فضاء واسعة نادرة الماء، قليلة النبات والشجر",
منارة,بناء مرتفع ينطلق من أعلاه نور قوي دائم الإشعاع تهتدي به السفن والطائرات,
جسر,قنطرة ونحوها يُعبَر عليها فوق النهر ونحوه,
شرفة, بروز مرتفع يخرج من المبنى يُسْتَشْرَفُ منه على ما حوله,
بئر,حُفْرَةٌ عَمِيقَةٌ فِي الأرْضِ لاسْتِخْراجِ الماء,
مخيم,من يقيم في الخيام والمعكسرات إقامة مؤقتة,
فانوس,مشكاة تحمل أو تعلق وبداخلها مصباح للإضاءة محاط بالزجاج,
قفل,"أداة من الحديد ونحوه تستخدم في غلق الباب ونحوه، ولها مفتاح يُفتَح ويغلق به.
",
سلة,وعاء من البلاستيك ونحوه توضع فيه الأشياء,
خريطة," رسم أو تخطيط يوضح معالم مكان ما، ويصف أجزاءه",
دعوة, طَلَب الحضور.,
فضول, الرغبة في المعرفة,
أنيس,"مؤانس، يذهب وحشة جليسه",
ثقة, شعور باعتزاز بالنفس وتحرر من الشك والريبة,
اعتزاز,افتخار بالشيء‏,
خجل,"احمرار الوجه، وتغيره بطريقة لا إرادية عند الشعور بالحرج أو الارتباك.
",
خوف,"خشية، وفزَع",
فرح,"سرور، بهجة‏",
حزن,"غمّ، وكآبة‏.",
قرار,"ثبات، واستقرار",
فكرة,"انطباع، صورة ذهنية لأمر ما",
قفز,"وَثْب‏، ارتفاع بالجسم إلى أعلى",
ركض,"عدْو‏، وجرْي",
تسلق,صعود‏,
سباق,مُنافَسَة,
تجول,تَنَقُّلٌ من مكان لآخر,
بحث,"‏طلب الشيء، والتفتيش‏ عنه",
اكتشاف,الشيءِ: العثور عليه,
إنقاذ,تخليص,
تعاون,"تكاتُف،‏ وتضامُن",
مشاركة,مساهَمة,
بداية,"بَدء، مُستهل",
نهاية," آخر، خاتمة",
سر ,ما يحاول المرء كتمانه من قول أو فعل,
سبب,"ما يؤدي إلى حدوث أمر، أو دافع",
إنجاز," إتمام، وإنهاء",
فرصة,وقت مناسب لتحقيق غرض ما,
مغامرة,مجازفة,
محاولة,بَذْل الجُهْد لإنفاذ عمل ما‏,
نجاح,"فَوْز، وظَفَر بالمطلوب",
تحد,مواجَهَة ومُغالَبة,
